regime,distraction_type,accuracy,parse_failure_rate,n
bounded,clean,0.7352,0.1088,1250
bounded,irrelevant_prefix,0.7152,0.1232,1250
bounded,irrelevant_suffix,0.7008,0.1368,1250
bounded,instruction_in_the_middle,0.672,0.1448,1250
bounded,conflicting_instruction,0.5032,0.3544,1250
bounded,negation_distraction,0.7272,0.1144,1250
bounded,style_distraction,0.564,0.196,1250
bounded,length_stress,0.7072,0.1352,1250
unbounded,clean,0.7272,0.128,1250
unbounded,irrelevant_prefix,0.688,0.1464,1250
unbounded,irrelevant_suffix,0.6376,0.1664,1250
unbounded,instruction_in_the_middle,0.6112,0.1928,1250
unbounded,conflicting_instruction,0.5008,0.356,1250
unbounded,negation_distraction,0.712,0.1248,1250
unbounded,style_distraction,0.5168,0.2232,1250
unbounded,length_stress,0.696,0.1504,1250
