model,model_display,accuracy,parse_failure_rate,n,clean,distracted,drop_clean_to_distracted
gemma,Gemma-2-9B-it,0.741,0.1505,4000,0.818,0.73,0.08799999999999997
qwen14b,Qwen2.5-14B-Instruct,0.65975,0.16525,4000,0.734,0.6491428571428571,0.08485714285714285
qwen7b,Qwen2.5-7B-Instruct,0.65075,0.162,4000,0.74,0.638,0.10199999999999998
llama,Llama-3.1-8B-Instruct,0.635,0.15275,4000,0.682,0.6282857142857143,0.053714285714285714
mistral_instruct,Mistral-7B-Instruct-v0.3,0.568,0.245,4000,0.682,0.5517142857142857,0.13028571428571434
mistral_base,Mistral-7B-v0.3 Base,0.0,0.9995,4000,0.0,0.0,0.0
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Gemma-2-9B-it,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Llama-3.1-8B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-Instruct-v0.3,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Mistral-7B-v0.3 Base,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-14B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
gemma,Qwen2.5-7B-Instruct,,,0,0.818,0.73,0.08799999999999997
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
qwen14b,Gemma-2-9B-it,,,0,0.734,0.6491428571428571,0.08485714285714285
