model,distraction_type,strict_accuracy,relaxed_accuracy,relaxed_gain,parse_failure_rate,n
gemma,clean,0.818,0.828,0.01,0.086,500
gemma,conflicting_instruction,0.518,0.526,0.008,0.384,500
gemma,instruction_in_the_middle,0.724,0.734,0.01,0.142,500
gemma,irrelevant_prefix,0.792,0.8,0.008,0.106,500
gemma,irrelevant_suffix,0.738,0.746,0.008,0.132,500
gemma,length_stress,0.788,0.796,0.008,0.12,500
gemma,negation_distraction,0.802,0.812,0.01,0.088,500
gemma,style_distraction,0.748,0.764,0.016,0.146,500
llama,clean,0.682,0.714,0.032,0.118,500
llama,conflicting_instruction,0.592,0.624,0.032,0.234,500
llama,instruction_in_the_middle,0.58,0.612,0.032,0.18,500
llama,irrelevant_prefix,0.642,0.678,0.036,0.134,500
llama,irrelevant_suffix,0.646,0.68,0.034,0.126,500
llama,length_stress,0.608,0.642,0.034,0.156,500
llama,negation_distraction,0.69,0.714,0.024,0.112,500
llama,style_distraction,0.64,0.686,0.046,0.162,500
mistral_base,clean,0.0,0.0,0.0,0.998,500
mistral_base,conflicting_instruction,0.0,0.0,0.0,1.0,500
mistral_base,instruction_in_the_middle,0.0,0.0,0.0,1.0,500
mistral_base,irrelevant_prefix,0.0,0.0,0.0,1.0,500
mistral_base,irrelevant_suffix,0.0,0.0,0.0,1.0,500
mistral_base,length_stress,0.0,0.0,0.0,0.998,500
mistral_base,negation_distraction,0.0,0.0,0.0,1.0,500
mistral_base,style_distraction,0.0,0.0,0.0,1.0,500
mistral_instruct,clean,0.682,0.684,0.002,0.14,500
mistral_instruct,conflicting_instruction,0.358,0.358,0.0,0.518,500
mistral_instruct,instruction_in_the_middle,0.634,0.638,0.004,0.184,500
mistral_instruct,irrelevant_prefix,0.68,0.684,0.004,0.158,500
mistral_instruct,irrelevant_suffix,0.604,0.61,0.006,0.202,500
mistral_instruct,length_stress,0.674,0.674,0.0,0.166,500
mistral_instruct,negation_distraction,0.676,0.676,0.0,0.138,500
mistral_instruct,style_distraction,0.236,0.236,0.0,0.454,500
qwen14b,clean,0.734,0.776,0.042,0.124,500
qwen14b,conflicting_instruction,0.498,0.518,0.02,0.348,500
qwen14b,instruction_in_the_middle,0.664,0.7,0.036,0.162,500
qwen14b,irrelevant_prefix,0.698,0.738,0.04,0.142,500
qwen14b,irrelevant_suffix,0.668,0.708,0.04,0.154,500
qwen14b,length_stress,0.738,0.772,0.034,0.136,500
qwen14b,negation_distraction,0.738,0.76,0.022,0.124,500
qwen14b,style_distraction,0.54,0.576,0.036,0.132,500
qwen7b,clean,0.74,0.776,0.036,0.124,500
qwen7b,conflicting_instruction,0.544,0.578,0.034,0.292,500
qwen7b,instruction_in_the_middle,0.606,0.62,0.014,0.176,500
qwen7b,irrelevant_prefix,0.696,0.736,0.04,0.134,500
qwen7b,irrelevant_suffix,0.69,0.714,0.024,0.144,500
qwen7b,length_stress,0.7,0.736,0.036,0.136,500
qwen7b,negation_distraction,0.692,0.718,0.026,0.136,500
qwen7b,style_distraction,0.538,0.546,0.008,0.154,500
