model,regime,strict_accuracy,relaxed_accuracy,relaxed_gain,parse_failure_rate,n
gemma,bounded,0.7595,0.77,0.0105,0.143,2000
gemma,unbounded,0.7225,0.7315,0.009,0.158,2000
llama,bounded,0.6305,0.6625,0.032,0.141,2000
llama,unbounded,0.6395,0.675,0.0355,0.1645,2000
mistral_base,bounded,0.0,0.0,0.0,1.0,2000
mistral_base,unbounded,0.0,0.0,0.0,0.999,2000
mistral_instruct,bounded,0.58,0.5825,0.0025,0.239,2000
mistral_instruct,unbounded,0.556,0.5575,0.0015,0.251,2000
qwen14b,bounded,0.682,0.7205,0.0385,0.1485,2000
qwen14b,unbounded,0.6375,0.6665,0.029,0.182,2000
qwen7b,bounded,0.676,0.703,0.027,0.1495,2000
qwen7b,unbounded,0.6255,0.653,0.0275,0.1745,2000
