model,task_name,strict_accuracy,relaxed_accuracy,relaxed_gain,parse_failure_rate,n
gemma,extractive_qa,0.92375,0.9725,0.04875,0.0275,800
gemma,information_extraction,0.915,0.915,0.0,0.07625,800
gemma,multi_label_classification,0.47625,0.47625,0.0,0.515,800
gemma,rule_based_transformation,0.4725,0.4725,0.0,0.05125,800
gemma,single_label_classification,0.9175,0.9175,0.0,0.0825,800
llama,extractive_qa,0.7475,0.91625,0.16875,0.0175,800
llama,information_extraction,0.8425,0.8425,0.0,0.05,800
llama,multi_label_classification,0.4075,0.4075,0.0,0.575,800
llama,rule_based_transformation,0.2425,0.2425,0.0,0.05625,800
llama,single_label_classification,0.935,0.935,0.0,0.065,800
mistral_base,extractive_qa,0.0,0.0,0.0,1.0,800
mistral_base,information_extraction,0.0,0.0,0.0,1.0,800
mistral_base,multi_label_classification,0.0,0.0,0.0,1.0,800
mistral_base,rule_based_transformation,0.0,0.0,0.0,0.9975,800
mistral_base,single_label_classification,0.0,0.0,0.0,1.0,800
mistral_instruct,extractive_qa,0.77625,0.78625,0.01,0.05625,800
mistral_instruct,information_extraction,0.8,0.8,0.0,0.17875,800
mistral_instruct,multi_label_classification,0.19,0.19,0.0,0.78625,800
mistral_instruct,rule_based_transformation,0.2025,0.2025,0.0,0.075,800
mistral_instruct,single_label_classification,0.87125,0.87125,0.0,0.12875,800
qwen14b,extractive_qa,0.6925,0.86125,0.16875,0.04,800
qwen14b,information_extraction,0.91875,0.91875,0.0,0.04625,800
qwen14b,multi_label_classification,0.385,0.385,0.0,0.6075,800
qwen14b,rule_based_transformation,0.39125,0.39125,0.0,0.04375,800
qwen14b,single_label_classification,0.91125,0.91125,0.0,0.08875,800
qwen7b,extractive_qa,0.695,0.83125,0.13625,0.015,800
qwen7b,information_extraction,0.89875,0.89875,0.0,0.04625,800
qwen7b,multi_label_classification,0.39,0.39,0.0,0.58125,800
qwen7b,rule_based_transformation,0.36,0.36,0.0,0.0775,800
qwen7b,single_label_classification,0.91,0.91,0.0,0.09,800
